nome;clube;posicao;preco;variacao;ult_ponto;media;jogo;roubada_bola;gol;assistencia;jogo_sem_sofrer_gol;finalizacao_fora;finalizacao_fora;finalizacao_defendida;finalizacao_trave;defesa_dificil;defesa_penalti;gol_contra;cartao_vermelho;cartao_amarelo;penalti_perdido;gol_sofrido;falta_cometida;impedimento;passe_errado
Luan;Atlético-MG;Atacante;6.14;0.68;2.6;1.5;9;5;0;1;0;10;5;3;0;0;0;0;0;1;0;0;13;0;10
Luan Peres;Ponte Preta;Zagueiro;2.23;0.3;1.4;2.38;5;3;0;0;2;4;0;0;0;0;0;0;0;1;0;0;1;0;9
Lucas;Fluminense;Lateral;1.65;-1.19;-4.4;0.81;17;22;0;1;1;12;4;1;0;0;0;0;0;4;0;0;35;5;51
Lucas Fonseca;Bahia;Zagueiro;5.18;-0.93;-1;3.08;17;15;0;1;6;20;1;1;0;0;0;0;1;1;0;0;6;0;33
Lucas Lima;Santos;Meia;3.77;0.24;0.4;1.73;15;20;0;3;0;34;6;7;0;0;0;0;0;8;0;0;28;0;71
Lucas Mineiro;Chapecoense;Meia;2.53;-1.33;1;1.25;9;14;0;0;0;6;3;1;0;0;0;0;0;3;0;0;18;0;12
Lucas Silva;Cruzeiro;Meia;6.73;1.56;10.8;1.98;12;18;0;2;0;11;4;1;0;0;0;0;0;3;0;0;21;0;32
Lucas Veríssimo;Santos;Zagueiro;6.96;-1.35;-1.1;4.1;20;22;0;0;12;11;3;4;0;0;0;0;0;5;0;0;13;1;34
Lucca;Ponte Preta;Atacante;20.16;0;0;7.16;20;19;10;1;0;67;18;20;0;0;0;0;0;3;1;0;23;6;55
Luiz Antonio;Chapecoense;Meia;8.08;-0.06;1.6;1.92;19;10;2;1;0;8;4;10;2;0;0;0;0;3;0;0;17;1;34
Luiz Fernando;Atlético-GO;Meia;2.8;0.35;1.8;0.86;18;5;1;1;0;16;4;4;1;0;0;0;0;3;0;0;15;6;26
Madson;Vasco;Lateral;3.64;0.3;3.2;2.34;5;2;0;0;2;9;2;0;0;0;0;0;0;1;0;0;3;1;12
Magrão;Sport;Goleiro;5.56;0;0;3.61;18;1;0;0;7;0;0;0;0;26;0;0;0;0;0;24;0;0;6
Mano Menezes;Cruzeiro;Técnico;12.71;-0.3;3.65;3.83;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marcelo;Botafogo;Zagueiro;4.05;-1.09;-0.3;3.36;9;10;0;0;4;2;3;1;0;0;0;0;0;1;0;0;7;0;18
Marcelo Grohe;Grêmio;Goleiro;8.74;0;0;1.4;14;0;0;0;7;0;0;0;0;5;0;0;1;1;0;11;0;0;5
Marcelo Oliveira;Coritiba;Técnico;8.91;-0.62;1.06;3.44;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marcos;Atlético-GO;Goleiro;3.12;2.12;12.5;12.5;1;0;0;0;1;1;0;0;0;3;0;0;0;1;0;0;0;0;0
Marcos Guilherme;São Paulo;Meia;11.67;3.18;12.9;4.78;6;3;3;0;0;2;0;1;1;0;0;0;0;0;0;0;4;0;13
Marcos Vinícius;Botafogo;Meia;5.65;-0.53;1.2;3.33;9;7;2;0;0;10;3;3;1;0;0;0;0;0;0;0;11;0;20
Marllon;Ponte Preta;Zagueiro;11.74;-0.77;1.4;4.56;20;31;0;0;8;23;3;2;1;0;0;0;0;2;0;0;10;0;39
Marlon Freitas;Fluminense;Meia;2.3;-0.71;-0.5;0.74;9;15;0;0;0;6;1;2;0;0;0;0;0;5;0;0;15;1;22
Martín Silva;Vasco;Goleiro;7.25;1.45;5;1.36;22;0;0;0;5;2;0;0;0;27;0;0;0;2;0;34;0;0;17
Mateus Vital;Vasco;Meia;8.93;0.48;3.5;3.25;18;18;0;2;0;39;5;12;0;0;0;0;0;1;0;0;12;2;28
Matheus Galdezani;Coritiba;Meia;7.35;0;0;2.48;20;32;1;1;0;38;11;13;0;0;0;0;0;6;0;0;42;1;81
Matheus Reis;Bahia;Lateral;5.29;0;0;2.2;17;15;0;1;6;22;1;1;0;0;0;0;0;4;0;0;25;0;51
Maycon;Corinthians;Meia;8.94;0.78;6.5;3.43;21;33;1;3;0;9;11;6;0;0;0;0;0;0;0;0;11;0;66
Mena;Sport;Lateral;5.35;0;0;5.82;10;20;1;4;4;10;1;1;0;0;0;0;1;3;0;0;20;3;27
Mendoza;Bahia;Atacante;4.38;-3.43;-0.6;4.45;17;21;4;0;0;22;17;8;0;0;0;0;0;0;0;0;18;1;45
Michel;Grêmio;Meia;10.45;0;0;5.33;14;38;4;0;0;16;8;2;0;0;0;0;0;4;0;0;36;0;39
Michel Bastos;Palmeiras;Meia;6.6;0.62;9.4;2.27;13;17;0;2;0;11;11;3;0;0;0;0;0;4;0;0;9;3;39
Moisés;Corinthians;Lateral;3.02;-0.3;1.1;3.57;3;5;0;1;0;0;1;0;0;0;0;0;0;0;0;0;4;0;5
Moisés;Palmeiras;Meia;7.6;0.15;-1.1;0.87;3;4;0;0;0;6;0;2;0;0;0;0;0;1;0;0;3;0;19
Moisés Ribeiro;Chapecoense;Meia;3.31;0.46;2.2;0.62;8;11;0;0;0;9;1;0;0;0;0;0;0;4;0;0;14;0;13
Murilo;Cruzeiro;Zagueiro;2.75;0.01;2.8;2.72;14;12;0;0;6;5;6;0;0;0;0;0;0;1;0;0;15;1;31
Naldo;Ponte Preta;Meia;7.52;0;0;3.92;12;34;1;0;0;9;2;1;0;0;0;0;0;3;0;0;21;2;27
Neilton;Vitória;Atacante;6.8;-1.08;1.2;4.29;16;11;4;4;0;24;7;8;0;0;0;0;0;1;1;0;21;0;36
Nenê;Vasco;Meia;12.47;0.39;2.7;2.89;15;10;2;3;0;35;9;7;0;0;0;0;0;4;0;0;16;2;62
Nikão;Atlético-PR;Meia;8.79;-0.56;0.4;3.01;20;18;2;2;0;33;8;13;1;0;0;0;0;2;0;0;20;2;67
Nino Paraíba;Ponte Preta;Lateral;21.1;1.13;11.3;5.58;18;35;1;3;6;35;4;7;0;0;0;0;0;3;0;0;19;3;75
Orejuela;Fluminense;Meia;8.6;-0.43;-0.1;1.36;17;23;0;0;0;23;0;0;0;0;0;0;1;2;0;0;20;0;28
Oswaldo Henríquez;Sport;Zagueiro;5.58;0;0;5.51;8;21;0;0;4;3;1;0;0;0;0;0;0;2;0;0;10;0;16
Pablo;Corinthians;Zagueiro;11.63;-0.21;6.5;4.78;14;12;0;0;10;8;7;2;0;0;0;0;0;2;0;0;10;0;18
Paolo Guerrero;Flamengo;Atacante;12.15;0.67;5.4;4.71;14;12;5;2;0;36;16;12;0;0;0;0;0;3;0;0;50;10;32
Pará;Flamengo;Lateral;8.98;-0.17;4.5;2.89;16;9;1;1;6;13;5;0;0;0;0;0;0;0;0;0;18;1;42
Patric;Vitória;Lateral;7.48;0.3;5;2.2;19;19;0;1;6;10;10;4;0;0;0;0;0;2;0;0;26;5;73
Patrick;Sport;Meia;10.35;0;0;5.54;17;57;2;0;0;22;3;2;0;0;0;0;0;2;0;0;30;0;49
Paulo André;Atlético-PR;Zagueiro;4.33;-0.61;1.5;1.84;13;12;0;0;4;8;0;1;0;0;0;0;0;4;0;0;10;0;28
Pavez;Atlético-PR;Meia;3.98;-1.39;-2.4;2.78;6;15;0;0;0;1;2;2;0;0;0;0;0;1;0;0;10;0;19
Pedro Castro;Avaí;Meia;2.06;-1.25;-1.6;1.35;17;12;0;1;0;25;9;3;0;0;0;0;0;2;0;0;15;1;41
Pedro Henrique;Corinthians;Zagueiro;9.12;-0.34;3.4;4.9;14;15;1;0;7;8;3;2;0;0;0;0;0;0;0;0;5;0;18
Pedro Rocha;Grêmio;Atacante;10.99;0;0;4.61;15;16;3;2;0;18;5;12;1;0;0;0;0;0;0;0;13;5;37
Petros;São Paulo;Meia;9.7;-0.18;2.5;3.17;12;25;0;1;0;24;2;0;0;0;0;0;0;2;0;0;23;1;23
Preto Casagrande;Bahia;Técnico;8.64;-0.48;3.32;3.74;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rafael Moura;Atlético-MG;Atacante;4.92;0.43;0.1;1.54;18;4;4;0;0;22;9;8;1;0;0;0;0;1;1;0;36;17;26
Rafael Sobis;Cruzeiro;Atacante;9.45;0.61;0.1;1.41;14;4;2;1;0;11;12;9;0;0;0;0;1;3;0;0;19;1;33
Rafinha;Cruzeiro;Meia;7.24;2.21;10.2;2.06;13;10;1;0;0;29;3;3;1;0;0;0;0;1;0;0;14;1;39
Ramiro;Grêmio;Meia;15.73;0;0;3.98;15;18;4;3;0;26;9;7;0;0;0;0;0;4;0;0;32;2;64
Ramon;Vasco;Lateral;10.25;1.15;13.1;6.55;8;18;1;1;2;22;2;0;0;0;0;0;0;0;0;0;11;0;27
Régis;Bahia;Meia;14.59;-0.86;-1.4;3.8;14;7;3;5;0;10;2;3;0;0;0;0;0;1;0;0;9;2;32
Reinaldo Rueda;Flamengo;Técnico;12.16;0.63;5.37;6.65;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Renato;Santos;Meia;6.43;0.12;3.1;1.6;13;15;0;0;0;14;1;0;0;0;0;0;0;0;0;0;8;0;28
Renato Chaves;Fluminense;Zagueiro;3.73;0.7;3.6;2.97;6;6;1;0;1;2;1;2;0;0;0;0;0;1;0;0;9;1;7
